HWT,CWT,WBT,LG,ALT,KaVL
43.81,30.54,20.00,1.127,0.0,0.98207
43.84,30.56,20.00,1.128,0.0,0.98048
43.87,30.58,20.00,1.129,0.0,0.9789
43.90,30.60,20.00,1.130,0.0,0.97732
43.93,30.62,20.00,1.131,0.0,0.97574
43.96,30.64,20.00,1.132,0.0,0.97417
43.99,30.66,20.00,1.133,0.0,0.9726
44.02,30.68,20.00,1.134,0.0,0.97104
44.05,30.70,20.00,1.135,0.0,0.96948
44.08,30.72,20.00,1.136,0.0,0.96793
44.11,30.74,20.00,1.137,0.0,0.96638
44.14,30.76,20.00,1.138,0.0,0.96483
44.17,30.78,20.00,1.139,0.0,0.96329
44.20,30.80,20.00,1.140,0.0,0.96175
44.23,30.82,20.00,1.141,0.0,0.96022
44.26,30.84,20.00,1.142,0.0,0.95869
44.29,30.86,20.00,1.143,0.0,0.95716
44.32,30.88,20.00,1.144,0.0,0.95564
44.35,30.90,20.00,1.145,0.0,0.95413
44.38,30.92,20.00,1.146,0.0,0.95262
44.41,30.94,20.00,1.147,0.0,0.95111
44.44,30.96,20.00,1.148,0.0,0.9496
44.47,30.98,20.00,1.149,0.0,0.9481
44.50,31.00,20.00,1.150,0.0,0.94661
44.53,31.02,20.00,1.151,0.0,0.94512
44.56,31.04,20.00,1.152,0.0,0.94363
44.59,31.06,20.00,1.153,0.0,0.94214
44.62,31.08,20.00,1.154,0.0,0.94066
44.65,31.10,20.00,1.155,0.0,0.93919
44.68,31.12,20.00,1.156,0.0,0.93772
44.71,31.14,20.00,1.157,0.0,0.93625
44.74,31.16,20.00,1.158,0.0,0.93479
44.77,31.18,20.00,1.159,0.0,0.93333
44.80,31.20,20.00,1.160,0.0,0.93187
44.83,31.22,20.00,1.161,0.0,0.93042
44.86,31.24,20.00,1.162,0.0,0.92897
44.89,31.26,20.00,1.163,0.0,0.92752
44.92,31.28,20.00,1.164,0.0,0.92608
44.95,31.30,20.00,1.165,0.0,0.92464
44.98,31.32,20.00,1.166,0.0,0.92321
45.01,31.34,20.00,1.167,0.0,0.92178
45.04,31.36,20.00,1.168,0.0,0.92036
45.07,31.38,20.00,1.169,0.0,0.91893
45.10,31.40,20.00,1.170,0.0,0.91752
45.13,31.42,20.00,1.171,0.0,0.9161
45.16,31.44,20.00,1.172,0.0,0.91469
45.19,31.46,20.00,1.173,0.0,0.91328
45.22,31.48,20.00,1.174,0.0,0.91188
45.25,31.50,20.00,1.175,0.0,0.91048
45.28,31.52,20.00,1.176,0.0,0.90908
45.31,31.54,20.00,1.177,0.0,0.90769
45.34,31.56,20.00,1.178,0.0,0.9063
45.37,31.58,20.00,1.179,0.0,0.90491
45.40,31.60,20.00,1.180,0.0,0.90353
45.43,31.62,20.00,1.181,0.0,0.90215
45.46,31.64,20.00,1.182,0.0,0.90078
45.49,31.66,20.00,1.183,0.0,0.8994
45.52,31.68,20.00,1.184,0.0,0.89803
45.55,31.70,20.00,1.185,0.0,0.89667
45.58,31.72,20.00,1.186,0.0,0.89531
45.61,31.74,20.00,1.187,0.0,0.89395
45.64,31.76,20.00,1.188,0.0,0.89259
45.67,31.78,20.00,1.189,0.0,0.89124
45.70,31.80,20.00,1.190,0.0,0.8899
45.73,31.82,20.00,1.191,0.0,0.88855
45.76,31.84,20.00,1.192,0.0,0.88721
45.79,31.86,20.00,1.193,0.0,0.88587
45.82,31.88,20.00,1.194,0.0,0.88454
45.85,31.90,20.00,1.195,0.0,0.88321
45.88,31.92,20.00,1.196,0.0,0.88188
45.91,31.94,20.00,1.197,0.0,0.88055
45.94,31.96,20.00,1.198,0.0,0.87923
45.97,31.98,20.00,1.199,0.0,0.87791
46.00,32.00,20.00,1.200,0.0,0.8766
46.03,32.02,20.00,1.201,0.0,0.87529
46.06,32.04,20.00,1.202,0.0,0.87398
46.09,32.06,20.00,1.203,0.0,0.87267
46.12,32.08,20.00,1.204,0.0,0.87137
46.15,32.10,20.00,1.205,0.0,0.87007
46.18,32.12,20.00,1.206,0.0,0.86878
46.21,32.14,20.00,1.207,0.0,0.86748
46.24,32.16,20.00,1.208,0.0,0.86619
46.27,32.18,20.00,1.209,0.0,0.86491
46.30,32.20,20.00,1.210,0.0,0.86362
46.33,32.22,20.00,1.211,0.0,0.86234
46.36,32.24,20.00,1.212,0.0,0.86107
46.39,32.26,20.00,1.213,0.0,0.85979
46.42,32.28,20.00,1.214,0.0,0.85852
46.45,32.30,20.00,1.215,0.0,0.85725
46.48,32.32,20.00,1.216,0.0,0.85599
46.51,32.34,20.00,1.217,0.0,0.85472
46.54,32.36,20.00,1.218,0.0,0.85347
46.57,32.38,20.00,1.219,0.0,0.85221
46.60,32.40,20.00,1.220,0.0,0.85096
46.63,32.42,20.00,1.221,0.0,0.84971
46.66,32.44,20.00,1.222,0.0,0.84846
46.69,32.46,20.00,1.223,0.0,0.84721
46.72,32.48,20.00,1.224,0.0,0.84597
46.75,32.50,20.00,1.225,0.0,0.84473
46.78,32.52,20.00,1.226,0.0,0.8435
46.81,32.54,20.00,1.227,0.0,0.84227
46.84,32.56,20.00,1.228,0.0,0.84104
46.87,32.58,20.00,1.229,0.0,0.83981
46.90,32.60,20.00,1.230,0.0,0.83859
46.93,32.62,20.00,1.231,0.0,0.83736
46.96,32.64,20.00,1.232,0.0,0.83615
46.99,32.66,20.00,1.233,0.0,0.83493
47.02,32.68,20.00,1.234,0.0,0.83372
47.05,32.70,20.00,1.235,0.0,0.83251
47.08,32.72,20.00,1.236,0.0,0.8313
47.11,32.74,20.00,1.237,0.0,0.8301
47.14,32.76,20.00,1.238,0.0,0.82889
47.17,32.78,20.00,1.239,0.0,0.82769
47.20,32.80,20.00,1.240,0.0,0.8265
47.23,32.82,20.00,1.241,0.0,0.82531
47.26,32.84,20.00,1.242,0.0,0.82411
