dbt,wbt,alt,dp_bin,dp_js,dp_ok,h_bin,h_js,h_ok,hr_bin,hr_js,hr_ok
41.7,39.9,0,39.61,39.61,1,165.7171,165.7171,1,0.048,0.048,1
46.3,44.1,0,43.81,43.81,1,204.5468,204.5468,1,0.0611,0.0611,1
27.2,16.9,0,10.37,10.37,1,47.3923,47.3923,1,0.0078,0.0079,0
47.3,37.4,0,35.52,35.52,1,145.5873,145.5873,1,0.0379,0.0379,1
22.9,10.2,0,-4.42,-4.42,1,29.6824,29.6824,1,0.0026,0.0026,1
19.2,17.7,0,16.92,16.92,1,50.0396,50.0396,1,0.0121,0.0121,1
17.1,12.3,0,8.63,8.63,1,34.8671,34.8671,1,0.007,0.007,1
29.1,24.3,0,22.52,22.52,1,73.4264,73.4264,1,0.0173,0.0173,1
16.0,12.8,0,10.51,10.51,1,36.164,36.164,1,0.0079,0.0079,1
28.1,15.3,500,6.35,6.35,1,44.4225,44.4225,1,0.0063,0.0063,1
28.0,12.1,500,-3.86,-3.86,1,35.5874,35.5875,0,0.0029,0.0029,1
53.0,44.1,500,42.98,42.98,1,214.8838,214.8865,0,0.0622,0.0622,1
47.2,30.2,500,25.53,25.53,1,104.7741,104.7743,0,0.0221,0.0222,0
35.8,24.3,500,20.01,20.01,1,76.2903,76.2904,0,0.0157,0.0157,1
28.5,20.8,500,17.41,17.41,1,62.5752,62.5752,1,0.0133,0.0133,1
42.1,23.5,500,15.55,15.55,1,72.6957,72.6957,1,0.0118,0.0118,1
31.0,14.8,500,1.8,1.8,1,42.9111,42.9112,0,0.0046,0.0046,1
51.9,32.8,500,28.22,28.22,1,119.9818,119.9821,0,0.0261,0.0261,1
36.8,33.2,500,32.43,32.43,1,123.3438,123.3442,0,0.0336,0.0336,1
33.1,27.8,500,26.27,26.27,1,92.6829,92.683,0,0.0232,0.0232,1
22.5,18.5,500,16.57,16.57,1,54.626,54.626,1,0.0126,0.0126,1
50.1,32.6,500,28.4,28.4,1,118.8205,118.8209,0,0.0264,0.0264,1
36.2,31.5,500,30.39,30.39,1,112.8229,112.8232,0,0.0298,0.0298,1
35.7,34.4,500,34.14,34.14,1,131.3827,131.3832,0,0.0372,0.0372,1
21.4,19.2,500,18.21,18.21,1,57.0477,57.0478,0,0.014,0.014,1
30.6,18.9,500,12.73,12.73,1,55.7677,55.7678,0,0.0098,0.0098,1
31.6,13.1,500,-5.65,-5.65,1,38.1721,38.1721,1,0.0025,0.0025,1
27.2,15.7,500,8.13,8.13,1,45.6274,45.6274,1,0.0072,0.0072,1
25.5,17.5,500,13.15,13.15,1,51.2559,51.256,0,0.01,0.0101,0
46.2,34.3,500,31.78,31.78,1,130.1044,130.1049,0,0.0324,0.0324,1
33.7,20.1,500,13.28,13.28,1,59.8747,59.8747,1,0.0101,0.0101,1
34.3,16.6,500,3.95,3.95,1,48.2113,48.2114,0,0.0053,0.0053,1
46.9,42.4,500,41.79,41.79,1,197.4311,197.4332,0,0.0581,0.0581,1
47.6,44.1,500,43.67,43.67,1,215.3129,215.3157,0,0.0647,0.0647,1
24.3,23.2,500,22.81,22.81,1,72.0775,72.0776,0,0.0187,0.0187,1
50.1,42.7,500,41.71,41.71,1,200.2416,200.2438,0,0.0578,0.0578,1
31.3,26.6,500,25.16,25.16,1,86.8792,86.8793,0,0.0217,0.0217,1
49.0,42.1,500,41.15,41.15,1,194.2669,194.2689,0,0.056,0.056,1
53.4,40.3,500,38.27,38.27,1,176.8471,176.8486,0,0.0474,0.0474,1
21.3,16.1,500,13.15,13.15,1,46.9614,46.9614,1,0.01,0.0101,0
37.9,28.4,500,25.66,25.66,1,95.53,95.5302,0,0.0223,0.0223,1
19.4,16.4,500,14.79,14.79,1,47.9248,47.9248,1,0.0112,0.0112,1
37.2,28.3,500,25.73,25.73,1,95.0459,95.0461,0,0.0224,0.0224,1
23.6,13.9,500,6.92,6.92,1,40.4974,40.4974,1,0.0066,0.0066,1
25.7,18.4,500,14.69,14.69,1,54.2072,54.2072,1,0.0111,0.0111,1
19.1,12.3,500,7.2,7.2,1,36.2398,36.2399,0,0.0067,0.0067,1
53.2,36.5,500,33.29,33.29,1,145.422,145.4228,0,0.0354,0.0354,1
42.4,37.2,500,36.28,36.28,1,151.4582,151.459,0,0.0422,0.0422,1
43.9,27.5,500,22.22,22.22,1,90.7232,90.7233,0,0.018,0.018,1
