dbt,wbt,alt,dp_bin,dp_js,dp_ok,h_bin,h_js,h_ok,hr_bin,hr_js,hr_ok
36.6,23.6,1500,19.14,19.14,1,79.9627,79.9624,0,0.0168,0.0168,1
33.3,16.9,1500,7.58,7.58,1,53.4481,53.4481,1,0.0078,0.0078,1
17.1,11.2,1500,7.14,7.14,1,36.3423,36.3425,0,0.0076,0.0076,1
21.2,16.9,1500,14.89,14.89,1,53.7271,53.7271,1,0.0128,0.0128,1
34.6,25.2,1500,22.36,22.36,1,87.6705,87.6701,0,0.0206,0.0206,1
16.2,11.3,1500,8.03,8.03,1,36.6271,36.6273,0,0.008,0.008,1
29.6,20.4,1500,16.71,16.71,1,66.4782,66.478,0,0.0144,0.0144,1
33.6,28.2,1500,26.86,26.86,1,103.6592,103.6588,0,0.0273,0.0273,1
21.2,13.5,1500,8.79,8.79,1,42.8344,42.8345,0,0.0085,0.0085,1
43.6,24.4,1500,17.73,17.73,1,83.4518,83.4515,0,0.0154,0.0153,0
15.3,10.5,1500,7.13,7.13,1,34.4839,34.4841,0,0.0076,0.0076,1
38.4,32.1,1500,30.83,30.83,1,127.8403,127.8402,0,0.0347,0.0347,1
47.5,32.5,1500,29.4,29.4,1,130.1288,130.1287,0,0.0318,0.0318,1
45.3,28.5,1500,24.07,24.07,1,104.8564,104.8561,0,0.023,0.023,1
22.7,20.0,1500,18.97,18.97,1,65.0954,65.0953,0,0.0166,0.0166,1
31.9,20.3,1500,15.48,15.48,1,66.0128,66.0126,0,0.0133,0.0133,1
